Text,Leaning,Year
"When other progressive organizations attempted to run ads against Democratic holdouts, Obama's chief of staff, Rahm Emanuel, called them ""fucking retards"" and told them to drop the campaign.The only pressure campaigns the White House allowed OFA and other progressive groups to engage in were those against Republicans. And when it was all said and done, Obama still didn't garner anyGOPvotes.The recalcitrance shouldn't have come as a surprise. On Inauguration Day 2009, Republican leaders had met with conservative activists to map out a strategy oftotaloppositionto Obama's agenda.",left,2012
"While the 2004 DNC speech that put Obama on the political map was a pastiche of the worst centrist bromides, his past as a community organizer and his race meant that the GOP would spend the entire 2008 campaign portraying Obama as asocialistMuslimblack nationalistwho was ""palling around with terrorists."" These were the kinds of attacks that DLC types had feared most, but Obama couldn't escape them.As a result, the Obama campaign put its efforts less into winning over the mythical ""soccer moms"" or other moderate suburban whites and more into turning out former nonvoters andfirst-timevoters, many of whom were people of color or Millennials.Two strategy stories emerged from Obama's campaign, and, in time, the perceived importance of each would shape future Democratic campaigns - including Clinton's ill-fated 2016 run. One gave priority to the door-to-door people power of Obama'sground game. The other credited the role ofbig data.The campaign's door-to-door organizing philosophy sprung from the Alinsky-inspired theories of sociologist and activistMarshall Ganz, who was known for his work with the United Farmworkers.",left,2012
"Those hopes were quickly dashed.From his earliest days in office to his last, Obama as president was light years away from Obama on the campaign stump.",left,2012
"""Obama's handling of the mortgage crisis,"" Dayen writes, ""may have cost Hillary Clinton the election.""If the little-known HAMP acted as a political ticking time bomb for the Democrats, the political effects of the Affordable Care Act's shortcomings were almost immediate.During his run for the White House, Obama promised to make health care reform negotiations transparent,pledgingto televise them on C-SPAN. But once in office, Obama turned to closed-door meetings. Out of public view, the White House constructed the Affordable Care Act to win the support of insurancecompaniesand theconservativeDemocrats doing theirbidding.",left,2012
"And the obstructionism he faced from Republicans and the Right was historically unprecedented. But Obama's presidency will be remembered for the tremendous opportunities he squandered and the progressive national moods he refused, or was incapable of, capitalizing on.At the moments when Americans were ready for bold action, he insisted on remaining ""reasonable""; in response to ever-expanding inequality and deepening misery, Obama offered small-bore technocratic fixes.The progress he was able to achieve should not be ignored. But it's impossible to look at Obama's list of achievements without being struck by how few and how small they are compared to what might have been.On the final day of Obama's presidency,Jacobincontributors assess his legacy on a range of issues.Health CareIn the fight against the GOP's assault on health care, we will need a more powerful weapon than Obamacare.Over his two terms, Barack Obama signed a number of major health-care bills into law, most significantly the Affordable Care Act of 2010 (ACA), though also more recently the21st Century Cures Actof 2016.",left,2012
"""It just wasn't at the core of her appeal this year. It was nothing like 2012, when President Obama relentlessly focused on the middle class, Bain Capital, the auto bailout, etc.""The notion that Trump would turn off many affluent, moderate Republicans was naive.Hillary Clinton's campaign office in Washington DC. Lorie Shaull / FlickrNonetheless, many Democrats and liberal pundits were incredulous that Clinton had won the support of so few non-college-educated whites.",left,2012
"Often servicers replicated the shady tactics that had triggered the financial crisis in the first place, ""losing"" applicants' paperwork and giving them the runaround.Ultimately, as Dayen has argued, HAMP simply intensified struggling homeowners' cynicism about the Obama administration and government action more generally. Areas where homeownerssaw their wealth evaporateduring the financial crisis (an outcome the Obama administration could've prevented) went for Trump in 2016.",left,2012
"""He's a racist and she is a liar,"" a non-college-educated black woman in Cleveland said in one focus group, ""so really what's the difference in choosing both or choosing neither?"" Polls showed Clinton trailing Obama by more than twenty points among African Americans in Florida, Ohio, Pennsylvania, and Virginia.",left,2012
"In order to placate upper-income white moderates and appeasetheircorporatedonors, Democrats oftencapitulate to- orparticipate in- Republican attacks on their own base.Since the post-McGovern triumph of neoliberalism, the Democratic Party has offered little to workers and the poor but calls for ""opportunity."" Even President Obama, who focused on inequality more than any post-LBJ Democrat, refused to break free from the ""opportunity"" framework. He spurned a potential economic adviser simply because she'd once used the word ""redistribution,"" and in his inequality-focused Osawatomie speech, he stopped short of championing equality, instead vowing to make ""sure that everyone in America gets a fair shot at success.""Likewise, the ""Great Gatsby Curve,""releasedin June 2013 to great fanfare by Obama's CEA chair Alan Krueger, saw inequality only through the prism of opportunity, arguing that heightened inequality made it harder for families to move up the economic ladder across generations.",left,2012
"Clinton would defeat Trump, he continued, ""with a revamped Obama coalition, comprising nonwhites; young voters; and an unprecedented number of moderate, suburban whites.""What these predictions missed is that moderate suburban whites are less committed to antiracism than many commentators assume. They're also actively hostile to the policies needed to make meaningful progress on either economic or social justice.",left,2012
"Before Obama was even inaugurated,Timedepicted him as FDR on itscover, and liberal writer Peter Beinart speculated, ""If [Obama] can do what F.D.R.",left,2012
"Both Carter and Clinton cut taxes on capital gains, Clinton deregulated the financial sector, and Obama famously treated Wall Street with kid gloves after it wrecked the economy.",left,2012
"But they expect him to deliver the jobs and good, cheap health care he promised - promises he's of course failed to keep.Two-thirds of the focus group liked Democrats like Sanders, Sherrod Brown, and Elizabeth Warren, ""who support American jobs and strongly opposed NAFTA and Obama's trade deal, support policies to protect consumers from Wall Street and reckless banks, want to get corporations to invest in their own workers and this country, want to end tax breaks for companies sending jobs overseas, and want to bar secret corporate campaign money so our government works for the middle class again.""The sobering reality for Democrats is that Clinton lost much of this group on economic issues, not ""cultural"" ones.",left,2012
"But the religious right was split between Romney and Arkansas governor Mike Huckabee, allowing John McCain, who was not strongly connected to either the establishment or the insurgents, to take the nomination.McCainoriginally wanted to appoint Democrat Joe Lieberman as his vice-presidential candidate, but he picked Sarah Palin in a bid to both appease the party right and project a more modern image for the party.The financial crisis doomed whatever slim chance McCain had of picking up the pieces of the Bush administration. It also exposed fault lines in the Republican Party more explosive than anything yet revealed.",left,2012
"On the presidential level, former Massachusetts governor Mitt Romney made an unlikely play for the 2008 nomination, attempting to win the party right by employing his Mormonism to court Christian conservatives.",left,2012
"""We are both a nation of immigrants and a nation of laws.""Napolitano's insistence on enforcement measures like mass deportations as a precondition for legalization mirrors the recent political history of immigration reform in this country. Under Obama and Bush, business-aligned ""establishment"" wings of both major parties have tried to use tough enforcement policies in an effort to gain the cooperation of the virulently xenophobic right wing for the other two legs of the stool. But that cooperation never came.Reformers failed to advance legalization - they could never bring the right to the table.",left,2012
"Instead, the Obama team demobilized OFA by rolling it into the DNC andforbadeOFAfrom pushing moderate Democrats to support the health care bill. When other progressive organizations attempted to run ads against Democratic holdouts, Obama's chief of staff, Rahm Emanuel, called them ""fucking retards"" and told them to drop the campaign.The only pressure campaigns the White House allowed OFA and other progressive groups to engage in were those against Republicans. And when it was all said and done, Obama still didn't garner anyGOPvotes.The recalcitrance shouldn't have come as a surprise.",left,2012
"politics for a generation. And despite the daunting problems he inherits, he's got an excellent chance.""But little in Obama's background suggested he'd be another FDR (much less the socialist of conservatives' paranoid dreams). Obamalackeda coherent economic philosophy, and insofar as he had one, it was that of a market-friendly ""University of Chicago Democrat."" When the time came to select economic advisers, he reached back to the Clinton administration.One of the few fresh faces in Obama's cabinet was Council of Economic Advisers chair Christina Romer.",left,2012
"The organizing both provided the big-data operation with indispensible information and gave the campaign the bodies needed to put the data-derived insights into action.The onset of the Great Recession meant that the incumbent party had a steep uphill climb in 2008, and the Obama campaign'srelatively populisteconomic messageandstellarget-out-the-vote efforts eliminated any lingering worries that the country's first black nominee might lose to a popular Republican. Obama defeated John McCain by seven points in the popular vote, improving upon John Kerry's 2004 margins among virtually everydemographic, includingwhite workers.The Obama campaign put its efforts less into winning over moderate suburban whites and more into turning out former nonvoters and first-time voters.Barack Obama speaks before the Democratic National Convention in August 2008. Carol Highsmith / Library of CongressOnce in office, the biggest issue facing Obama was the Great Recession.",left,2012
"Obama picked up key Rust Belt states like Ohio, Pennsylvania, and Wisconsin, pulling alargershare of non-college whites than in other states.In an inversion of the ideal DLC pattern, Obamalostmore ground among college-educated whites between 2008 and 2012 than among non-college whites. Hecleaned upin cities and inner-ring suburbs en route to his win, while Romney racked up his votes in rural areas and the New Democrats' coveted exurbs and ""emerging suburbs.""With Republicans in control of Congress, whatever lessons Obama learned about the vices of moderation and the virtues of populism wouldn't be reflected in policy. But it seemed that his reelection strategy, along with the success of candidates running on a populist anti-Wall Streetmessagein the 2014 midterms, pointed the way forward for Democrats in 2016.The holdover New Democrats had other ideas.The Return of ClintonismWriting in late 2013, former DLCers William Galston and Elaine Kamarckpainteda sunny picture of the Democrats' chances in 2016.",left,2012
"(It also might have unwittingly fueled antigovernment sentiment: asmanyscholarshave argued, relying on hidden ""tax expenditures"" tends to make recipients see their benefits as a natural outcome of the market, rather than a government program.)Unlike the stimulus, Obama didn't need Congress's approval to attack the foreclosure crisis. The Wall Street bailout bill signed by George W.",left,2012
"Places like Gary, Flint,Youngstown, andMansfieldare shells of their former selves.And, asresearchhasshown, voters are right to point the finger at policies implemented by theClinton administrationand continued by Bush and Obama.",left,2012
"In addition,ascriticsnoted, Third Way's poll questions employed Mark Penn-esque creative phrasing to elicit favorable answers. More neutral polls compiled by theNation's Ari Bermanfoundthat Obama's populist rhetoric scored high marks. Nonetheless, pundits likeBill Kellerof theNew York Timesseized on the Third Way study and urged Obama to stop ""trying out for the role of Robin Hood.""Obama faced pushback from some of his fellow Democrats, too.",left,2012
"Yet it still garneredzeroGOP votes in the House.On top of that, the technocratic bent of Obama's advisers undercut what should've been the most popular parts of the American Recovery and Reinvestment Act (ARRA). Instead of doling out the tax cuts in eye-catching lump-sum checks - as Bush had done with hisstimulus- Obama's law simply had the government withhold slightly less from each American's paycheck, on the assumption that it would make them more likely to spend it.It was a political disaster. While it helped slow some of the economic bleeding, the stimulus was at once too small and too opaque to usher in a twenty-first century New Deal.",left,2012
"Rather than drawing a line in the sand and refusing to negotiate, Obama followed the advice of Chief of Staff Bill Daley - a former bank executive who believed deficit reduction would be politically popular - and David Plouffe, his new political adviser.",left,2012
"As a group of political scientistsfound, Trump peeled off a specific portion of whites: ""populists"" on economic issues who hold conservative views on social issues.This group had overwhelmingly pulled the lever for Obama in 2012, making up roughly 12 percent of his coalition. ""By strategic design or dumb luck,"" the political scientists noted, ""the Trump candidacy was able to activate a segment of the electorate that has historically not been part of the GOP electoral coalition.""Earlier this year, the results of a Roosevelt Institute/ Democracy Corpsfocus groupconfirmed both the belief that racism has put some of these voters out of reach and the argument that others can be won back with better economic appeals.Many saw Clinton as a wealthy ally of Wall Street and genuinely believed Trump's claims that his wealth meant he wouldn't be beholden to deep-pocketed donors.",left,2012
