Fragment,Label,Year
Four more years! PRESIDENT BARACK OBAMA:Thank you. Thank you.,left,2012
"(Cheers, applause.) Whether you pounded the pavement or picked up the phone — (cheers, applause) — whether you held an Obama sign or a Romney sign, you made your voice heard and you made a difference. (Cheers, applause.) I just spoke with Governor Romney and I congratulated him and Paul Ryan on a hard-fought campaign. (Cheers, applause.) We may have battled fiercely, but it's only because we love this country deeply and we care so strongly about its future.",left,2012
"And that is a legacy that we honor and applaud tonight. (Cheers, applause.) In the weeks ahead, I also look forward to sitting down with Governor Romney to talk about where we can work together to move this country forward. (Cheers, applause.) I want to thank my friend and partner of the last four years, America's happy warrior, the best vice president anybody could ever hope for, Joe Biden.",left,2012
"President! PRESIDENT OBAMA:I'm not talking about blind optimism, the kind of hope that just ignores the enormity of the tasks ahead or the road blocks that stand in our path. I'm not talking about the wishful idealism that allows us to just sit on the sidelines or shirk from a fight.",left,2012
"East Coast. Pew president Andrew Kohut tells NPR's Guy Raz that the shift back toward Obama was partially because of his handling of the aftermath of the storm. ""Two-thirds of the likely voters we questioned said they approved of the way he handled it,"" Kohut says.",left,2012
"The poll adds, however, that voter turnout remains one of the GOP nominee's strengths. Romney's supporters are more engaged in the election and more committed to voting than are Obama's supporters, the poll found. Sponsor Message Become an NPR sponsor",left,2012
"By Mark Memmott Some of the faces of those who supported the president, at his victory rally Tuesday in Chicago.Jewel Samad/AFP/Getty Imageshide caption Some of the faces of those who supported the president, at his victory rally Tuesday in Chicago. NPR.org'sScott Neuman wrote earlierabout how ""a mixture of demographics, superior organization and a few tactical missteps from Republicans"" helped President Obama win the battleground states. From this morning's post-election analyses of the presidential campaign, here are three more looks at why Obama was re-elected Tuesday: --The New York Times: ""In Chicago, the [Obama] campaign recruited a team of behavioral scientists to build an extraordinarily sophisticated database packed with names of millions of undecided voters and potential supporters.",left,2012
"In the months leading up to the election, Obama announced his support for same-sex marriage, unilaterally granted a form of limited legalization to young illegal immigrants and put abortion rights and contraception at the heart of a brutally effective anti-Romney attack ad campaign.""The result turned out to be an unbeatable combination: virtually universal support from black voters, who turned out as strongly as in 2008, plus decisive backing from members of the younger and fast-growing Latino and Asian American communities, who chose Obama over Romney by ratios of roughly 3 to 1. All of those groups contributed to Obama's majority among women. (Gay voters, a far smaller group, went for Obama by a 54-point margin.)"" --The Wall Street Journal: ""Mitt Romney is one of the wealthiest men ever to run for president.",left,2012
"But even those losses were not enough to knock him from the presidency, and part of that, according to Kohut, had to do with likability. Republican presidential candidate Mitt Romney delivers his concession speech in Boston.Justin Sullivan/Getty Imageshide caption Republican presidential candidate Mitt Romney delivers his concession speech in Boston. ""Fifty-three percent of people said they approved of how Obama handled his job,"" Kohut says.",left,2012
"""Fifty-three percent of people said they approved of how Obama handled his job,"" Kohut says. ""And a president with that kind of approval rating doesn't lose his job."" Romney never recovered from two negative perceptions: that as head of Bain Capital, he cared more about profits than jobs; and his ""47 percent"" comment, when he suggested that nearly half of Americans see themselves as ""victims"" and expect the government to support them. It is not yet clear that the president will win the popular vote.",left,2012
"""The most surprising thing was that the move toward the president was as distinctive as it was in the final days of the campaign,"" NPR Political Editor Ron Elving said. In recent days, polls showed Obama gaining momentum in battleground states. And if trends hold, it is possible that the president will win all eight of them.",left,2012
"Undecided voters — whom Romney was counting on in swing states — did not break for the challenger as he had hoped, robbing him of a wavelike victory of the kind that benefited Ronald Reagan in 1980. The States That Mattered — And Didn't Supporters of Republican presidential candidate Mitt Romney react to his defeat in Boston.Emmanuel Dunand/AFP/Getty Imageshide caption Supporters of Republican presidential candidate Mitt Romney react to his defeat in Boston. Some of the predictions were spot on — that Ohio would be critical to an Obama win — but others collapsed with a loud thud.",left,2012
"The Democrats' overwhelming defeat in the midterm elections leaves President Obama with difficult choices ahead. Patrick Caddell has some advice: He should declare himself a one-term president, and spend the remainder of his time in the White House focusing on national problems, not campaigning. Patrick Caddell,political commentator and co-author of ""One And Done"" in theWashington Post JENNIFER LUDDEN, host:Now, the Opinion Page.",left,2012
"Well, President Obama did win. But now, halfway through his term, some are asking not can he do it again, but should he even try.Political commentator Patrick Caddell says no.",left,2012
"Only North Carolina went for Romney. How did the Obama campaign pull it off? It came down to a mixture of demographics, superior organization and a few tactical missteps from Republicans, political observers tell NPR.",left,2012
"Edwards discounts the superPAC-fueled, billion-dollar ad blitz, with one exception. ""There was a time in the summer,"" he says, ""when the Obama campaign got the upper hand on the ad wars, but for the most part it was about other things."" Things like grass-roots infrastructure. ""The Obama campaign had many more field offices than [Mitt] Romney, and they had many more people on the ground, knocking on doors,"" he says.",left,2012
"Here's a quick look at the decisive factors in some battleground states: Florida, Nevada And Colorado The Latino vote made a difference in all three states. Many pollsters showed Florida leaning toward Romney immediately ahead of the voting. But the state, while technically not decided, is where Republican weakness among Latinos was most telling, Geer notes.",left,2012
"Overwhelming support among blacks was key. In fact, Obama's support amongwhitesin Ohio dropped enough from 2008 that Romney potentially could have taken the state had it not been for the higher African-American turnout. Virginia Here's another state where demographics played a key role, Edwards says.",left,2012
"Senate race] underscores that."" U.S. Newsbreaks it down this way: ""[Obama] posted big margins in the more liberal counties of Northern Virginia, or NOVA. But to eke out his victory, he also made inroads in the crucial swing area of Prince William County, once considered the dividing line between NOVA and the more conservative ROVA, or 'Rest of Virginia.' And exit polls showed he performed better in the eastern half of the state than Democrat John Kerry in 2004."" Sponsor Message Become an NPR sponsor",left,2012
"Bush's campaigns of the 2000s get credit for early mining of consumer data. Obama's campaign, however, is credited with taking the data analysis to the next level, refining the process campaigns have used to score potential voters on their likelihood to turn out for a particular candidate on Election Day in much the same way credit issuers score consumers on their likeliness to repay debts. This meant mining consumer data and other information from millions of would-be voters to find patterns that indicated political leanings and how persuadable they might be.",left,2012
"And there were thereported 66,000 daily computer simulationsthe campaign ran to model Election Day variables to help it decide where to expend more time and money. ""We had to win this on the micro stuff,"" Obama campaign manager Jim Messina said at a post-election conference of political consultants,according to Buzzfeed. It's not like the campaign of Republican Mitt Romney wasn't also using data and modern political science tools to try to maximize turnout for its candidate.",left,2012
"""We had to win this on the micro stuff,"" Obama campaign manager Jim Messina said at a post-election conference of political consultants,according to Buzzfeed. It's not like the campaign of Republican Mitt Romney wasn't also using data and modern political science tools to try to maximize turnout for its candidate. It just seemed to have less success.",left,2012
"While it's impossible to quantify how much data-driven and social-science approach accounts for the president's success, Obama's strong showing surprised many political observers, and certainly many in Romney's presidential campaign. They had assumed Obama couldn't match, let alone exceed, his strong 2008 showing with key parts of his coalition, especially African-Americans and young voters. But he did.",left,2012
"""The Democrats start with a larger number of electoral votes in the bank,"" says Daron Shaw, author ofThe Race to 270,a book about electoral strategy. That's because while the election is still very much in the air, Obama can count on a larger store of electoral votes that are all but guaranteed to him than Romney can. Other than Texas, states where Republicans are certain winners, such as Oklahoma, Idaho, Alabama and Alaska, simply don't offer all that many electoral votes.",left,2012
