Fragment,Label,Year
President Obama speaks at his election night party Wednesday in Chicago after defeating Republican challenger Mitt Romney.M. Spencer Green/APhide caption President Obama speaks at his election night party Wednesday in Chicago after defeating Republican challenger Mitt Romney. Transcript of President Obama's victory speech in Chicago.,left,2012
Spencer Green/APhide caption President Obama speaks at his election night party Wednesday in Chicago after defeating Republican challenger Mitt Romney. Transcript of President Obama's victory speech in Chicago.,left,2012
"Transcript of President Obama's victory speech in Chicago. Source:Federal News Service Editor's Note: NPR transcripts are created on a rush deadline by a contractor for NPR, and accuracy and availability may vary.",left,2012
Four more years! PRESIDENT BARACK OBAMA:Thank you. Thank you.,left,2012
"(Cheers, applause.) Whether you voted for the very first time — (cheers) — or waited in line for a very long time — (cheers) — by the way, we have to fix that. (Cheers, applause.) Whether you pounded the pavement or picked up the phone — (cheers, applause) — whether you held an Obama sign or a Romney sign, you made your voice heard and you made a difference. (Cheers, applause.) I just spoke with Governor Romney and I congratulated him and Paul Ryan on a hard-fought campaign.",left,2012
"(Cheers, applause.) Whether you pounded the pavement or picked up the phone — (cheers, applause) — whether you held an Obama sign or a Romney sign, you made your voice heard and you made a difference. (Cheers, applause.) I just spoke with Governor Romney and I congratulated him and Paul Ryan on a hard-fought campaign. (Cheers, applause.) We may have battled fiercely, but it's only because we love this country deeply and we care so strongly about its future.",left,2012
"(Cheers, applause.) We may have battled fiercely, but it's only because we love this country deeply and we care so strongly about its future. From George to Lenore to their son Mitt, the Romney family has chosen to give back to America through public service. And that is a legacy that we honor and applaud tonight.",left,2012
"And that is a legacy that we honor and applaud tonight. (Cheers, applause.) In the weeks ahead, I also look forward to sitting down with Governor Romney to talk about where we can work together to move this country forward. (Cheers, applause.) I want to thank my friend and partner of the last four years, America's happy warrior, the best vice president anybody could ever hope for, Joe Biden.",left,2012
"President! PRESIDENT OBAMA:I'm not talking about blind optimism, the kind of hope that just ignores the enormity of the tasks ahead or the road blocks that stand in our path. I'm not talking about the wishful idealism that allows us to just sit on the sidelines or shirk from a fight.",left,2012
"By Melisa Goh Four days after the polls closed, Florida has announced that President Obama won the state's 29 electoral votes.",left,2012
"By Melisa Goh Four days after the polls closed, Florida has announced that President Obama won the state's 29 electoral votes. Asthe APwrites: ""That gives the president a total of 332 electoral votes to Mitt Romney's 206. Florida officials said Obama had 50 percent of the vote to Romney's 49.1 percent, a margin of about 74,000 votes."" The Florida Secretary of State's Office confirmed Obama's victory Saturday.",left,2012
"Asthe APwrites: ""That gives the president a total of 332 electoral votes to Mitt Romney's 206. Florida officials said Obama had 50 percent of the vote to Romney's 49.1 percent, a margin of about 74,000 votes."" The Florida Secretary of State's Office confirmed Obama's victory Saturday. Though razor-thin, the difference is still larger than the half-percent margin that would have automatically triggered a recount.",left,2012
"Though razor-thin, the difference is still larger than the half-percent margin that would have automatically triggered a recount. Though Obama's win was secured even without the state's electoral votes, Florida's results put all eight swing states — including Ohio, Wisconsin, Iowa, Michigan, Virginia, Colorado and New Hampshire — in the president's column. Check out our 2012 Election Results Mapto see which way all the states went.",left,2012
"By Krishnadev Calamur The final poll released Sunday by thePew Research Centerahead of Tuesday's election shows President Obama has a 3 percentage point lead over Republican presidential nominee Mitt Romney just two days before the general election. Obama leads Romney 48 percent to 45 percent in the poll of 2,709 likely voters, which has a margin of error of 2.2 percentage points. The poll was conducted Oct.",left,2012
"Obama leads Romney 48 percent to 45 percent in the poll of 2,709 likely voters, which has a margin of error of 2.2 percentage points.",left,2012
"Here's more from the Pew news release: ""The survey finds that Obama maintains his modest lead when the probable decisions of undecided voters are taken into account. Our final estimate of the national popular vote is Obama 50 percent and Romney 47 percent, when the undecided vote is allocated between the two candidates based on several indicators and opinions."" The results comejust a weekafter a Pew poll showed the two candidates deadlocked at 47 percent among likely voters.",left,2012
