Text,Leaning,Year
"""Unless the legislation is carefully managed by whoever wins, the debate could produce the same depressing effect on consumer confidence as last year's debt ceiling fiasco,"" survey director Richard Curtin said in a statement. ""While the surge in confidence will act to bolster consumer spending during the upcoming holiday season, it also means that this higher level of confidence is more vulnerable to reversal and has thus raised the stakes for post-election economic policies."" Two-thirds of consumers surveyed expected President Barack Obama to win his re-election bid in just over a week. The barometer of current economic conditions gained to 88.1 from 85.7, while the gauge of consumer expectations rose to their highest level since July 2007 at 79 from 73.5.",right,2012
"Let the 2012 race begin. Little more than a year into President Barack Obama's first term, Republicans considering a challenge to the Democrat in his re-election bid were gauging their political strength at the first GOP candidate ""cattle call"" far from Washington — the three-day Southern Republican Leadership Conference. Yet as Sarah Palin, Haley Barbour, Newt Gingrich and several others gather in New Orleans, they face a stark reality: The Republican Party's task will be tough no matter who wins the GOP nomination. Toppling Obama is all but certain to be difficult, judging by history.",right,2012
"Toppling Obama is all but certain to be difficult, judging by history. Only five times in the last century has an incumbent lost re-election.",right,2012
"Bush in 1992. And neither was as personally popular as Obama, who became a cultural phenomenon long before he was elected the nation's first black president. Plus, the GOP has long-term institutional challenges; its ranks have shrunk and the South is the only region Republican nominee John McCain won in 2008.",right,2012
"It's a wide-open field with big personalities but little issue diversity. The hopefuls are encouraged by an increasing chorus of Republicans — led by former Vice President Dick Cheney — who argue that Obama could be a one-term president. ""What we're up against is unlike anything we've ever seen in America. This is a secular, socialist machine"" and ""they lie about both of them,"" Gingrich told tea party activists as he started to define his potential opponent.",right,2012
"This is a secular, socialist machine"" and ""they lie about both of them,"" Gingrich told tea party activists as he started to define his potential opponent. The former House speaker called Obama a more radical version of Carter, adding: ""He's a pleasant guy, but he's a terrible president."" ""Run, Newt, run,"" responded one man in the audience. Among an increasing number of Republicans, the theory is that Obama is overreaching in his efforts to dramatically change the country's policies on everything from health care to climate change.",right,2012
"The former House speaker called Obama a more radical version of Carter, adding: ""He's a pleasant guy, but he's a terrible president."" ""Run, Newt, run,"" responded one man in the audience. Among an increasing number of Republicans, the theory is that Obama is overreaching in his efforts to dramatically change the country's policies on everything from health care to climate change. Republicans predict that voters — particularly independents who decide elections and GOP loyalists who are energized against Obama — may ultimately reject his sweeping government policies in a nation that tilts more conservative than it does liberal.",right,2012
"Among an increasing number of Republicans, the theory is that Obama is overreaching in his efforts to dramatically change the country's policies on everything from health care to climate change. Republicans predict that voters — particularly independents who decide elections and GOP loyalists who are energized against Obama — may ultimately reject his sweeping government policies in a nation that tilts more conservative than it does liberal. Indeed, the 2008 candidate who ran from the Senate with a limited record now is the president who owns all of the country's successes and failures — and must defend his first-term actions.",right,2012
"Indeed, the 2008 candidate who ran from the Senate with a limited record now is the president who owns all of the country's successes and failures — and must defend his first-term actions. Still, as president, Obama has something no Republican can match — the power of the White House bully pulpit. To be sure, there are many unknowns this far out.",right,2012
"There's no telling whether terrorists will strike America between now and then. No one knows the impact of the massive health care overhaul law Obama recently signed. And, perhaps most importantly, no one knows how the fickle American electorate will feel about their president, their country and their place in it.",right,2012
