Text,Leaning,Year
"The party establishment — those with the closest historic ties to old-line, WASP manufacturers, bankers, and financiers — have lost control of the party to a right-wing populist, Donald Trump.Since the 1960s, the mass voter base of the Republican Party has been made up primarily of older, suburban, white middle-class small businesspeople, professionals, and managers, many of whom are self-described Christian fundamentalists, and a minority of older white workers, including a minority of union households. Until recently, the party’s base’s particular passions — especially its hostility to the democratic gains of people of color, women, and LGBT people — could be contained.Minor concessions to the social conservatives on abortion, affirmative action, voter restrictions, and same-sex marriage/legal equality maintained their loyalty, while capitalists set the substantive neoliberal agenda for the Republicans (and the Democrats as well).",left,2016
"Donald Trump’s nomination as the Republican presidential candidate is the most recent act of a struggle for the leadership of the party that began in the aftermath of the global recession and the election of Barack Obama and Democratic majorities in both the US House and Senate.While capital did push back against the first wave of middle-class radicalism in the Republican Party — the Tea Party — during the 2014 Congressional elections, these rebels were not vanquished.",left,2016
"While his replacement, Paul Ryan, is considerably to the right, he has clearly distanced himself from the populist insurgency that has metamorphosed into the Trump campaign.Donald Trump’s “outsider” campaign for president marked a deepening of the right-wing radicalization of sections of the middle classes and of the crisis of capitalist hegemony in the Republican Party. When Trump announced his candidacy for the Republican nomination in June 2015, few political commentators took his campaign seriously.",left,2016
"While his replacement, Paul Ryan, is considerably to the right, he has clearly distanced himself from the populist insurgency that has metamorphosed into the Trump campaign.Donald Trump’s “outsider” campaign for president marked a deepening of the right-wing radicalization of sections of the middle classes and of the crisis of capitalist hegemony in the Republican Party. When Trump announced his candidacy for the Republican nomination in June 2015, few political commentators took his campaign seriously. With a field dominated by mainstream Republicans like Jeb Bush and Marco Rubio, most believed that Trump’s campaign would be short-lived.",left,2016
"When Trump announced his candidacy for the Republican nomination in June 2015, few political commentators took his campaign seriously. With a field dominated by mainstream Republicans like Jeb Bush and Marco Rubio, most believed that Trump’s campaign would be short-lived. However, within a month of announcing for the presidency, Trump was out-polling a crowded Republican field.",left,2016
"With a field dominated by mainstream Republicans like Jeb Bush and Marco Rubio, most believed that Trump’s campaign would be short-lived. However, within a month of announcing for the presidency, Trump was out-polling a crowded Republican field. And in July 2016, he became the official nominee of the Republican party.What makes Trumpunacceptable to the Republican establishmentand their corporate backers is not merely his unabashed racism and misogyny, or his casual references to his penis size.",left,2016
"Nor does their hostility flow from electoral calculations, though it is true that Trump is likely to lose the presidency and possibly help return Democratic majorities in the House and Senate.Trump, in many ways, is a radical, right-wing opponent of capital’s dominance over the Republican Party.",left,2016
"Nor does their hostility flow from electoral calculations, though it is true that Trump is likely to lose the presidency and possibly help return Democratic majorities in the House and Senate.Trump, in many ways, is a radical, right-wing opponent of capital’s dominance over the Republican Party. Not only does Trump express the xenophobia and racism of his populist base, but he rejectscentral tenetsof the bipartisan neoliberal agenda that has impoverished segments of the middle class along with working and poor people. Capital is clearly uneasy with Trump’s stance on immigration and the federal debt — he floated the idea of trying to persuade creditors to accept less than full payment on loans to the US government.",left,2016
Capital is clearly uneasy with Trump’s stance on immigration and the federal debt — he floated the idea of trying to persuade creditors to accept less than full payment on loans to the US government.,left,2016
"Capital is clearly uneasy with Trump’s stance on immigration and the federal debt — he floated the idea of trying to persuade creditors to accept less than full payment on loans to the US government. The corporate elite is even more disturbed by his ideas about foreign policy and global “free trade.”Trump rejects the established “US role in the world” — a muscular, imperialist foreign policy ready to use military force to protect the global interests of US capital. While there have been debates within the US ruling class over where and when to send troops since Vietnam, no segment of the corporate class questions the US alliance with the most stable capitalist power in the Middle East, Israel, the justice of the US wars in Iraq and Afghanistan, or the maintenance of nuclear hegemony.Trump has also made incendiary comments on “bombing the shit” out of the Islamic State forces, threatened to break off negotiations with the Iranian regime, and called for US allies to pay for US military and political protection.",left,2016
